,root,root_as_int,quality_or_type
0,A,9,dim7
1,A,9,dom
2,A,9,maj7
3,A,9,min7
4,A,9,min7b5
5,A#/Bb,10,dim7
6,A#/Bb,10,dom
7,A#/Bb,10,m7b5
8,A#/Bb,10,maj7
9,A#/Bb,10,min7
10,A#/Bb,10,min7b5
11,B,11,dim7
12,B,11,dom
13,C,0,aj
14,C,0,dim7
15,C,0,dom
16,C,0,m7b5
17,C,0,maj7
18,C,0,min7
19,C,0,min7b5
20,C#/Db,1,aj
21,C#/Db,1,dim7
22,C#/Db,1,dom
23,C#/Db,1,maj7
24,C#/Db,1,min7
25,C#/Db,1,min7b5
26,D,2,aj
27,D,2,dim7
28,D,2,dom
29,D,2,m7b5
30,D,2,maj7
31,D,2,min7
32,D,2,min7b5
33,D#/Eb,3,dim7
34,D#/Eb,3,dom
35,D#/Eb,3,m7b5
36,D#/Eb,3,maj7
37,D#/Eb,3,min7
38,D#/Eb,3,min7b5
39,E,4,dom
40,E,4,maj7
41,E,4,min7
42,E,4,min7b5
43,F,5,aj
44,F,5,dim7
45,F,5,dom
46,F,5,m7b5
47,F,5,maj7
48,F,5,min7
49,F,5,min7b5
50,F#/Gb,6,dim7
51,F#/Gb,6,dom
52,F#/Gb,6,maj7
53,F#/Gb,6,min7
54,F#/Gb,6,min7b5
55,G,7,aj
56,G,7,dim7
57,G,7,dom
58,G,7,m7b5
59,G,7,maj7
60,G,7,min7
61,G,7,min7b5
62,G#/Ab,8,dim7
63,G#/Ab,8,dom
64,G#/Ab,8,m7b5
65,G#/Ab,8,maj7
66,G#/Ab,8,min7
67,G#/Ab,8,min7b5
