note_id,midi_number,tempo_in_qbm,duration,duration_due_to_tied_notes,location,location_in_measure,starting_location_of_this_measure,current_measure,harmony_note_flag,voice,chord_symbol,time_signature_id,work_id,articulation_id,dynamic_id,pitch_name,pitch_name_without_octave,duration_name,instrument
0,-1,60,480,480,0,0,0,1,FALSE,1,36,1,0,0,0,rest,rest,Half note,0
1,70,60,480,480,480,480,0,1,FALSE,1,36,1,0,0,0,A#/Bb4,A#/Bb,Half note,0
2,68,60,960,960,960,960,0,1,FALSE,1,36,1,0,0,0,G#/Ab4,G#/Ab,Dotted half note,0
3,72,60,720,720,1920,0,1920,2,FALSE,1,11,1,0,0,0,C5,C,Half note triplet,0
4,67,60,240,240,2640,720,1920,2,FALSE,1,11,1,0,0,0,G4,G,Eighth note,0
5,65,60,480,480,2880,960,1920,2,FALSE,1,11,1,0,0,0,F4,F,Half note,0
6,64,60,480,480,3360,1440,1920,2,FALSE,1,11,1,0,0,0,E4,E,Half note,0
7,-1,60,240,240,3840,0,3840,3,FALSE,1,31,1,0,0,0,rest,rest,Eighth note,0
8,65,60,240,480,4080,240,3840,3,FALSE,1,31,1,0,0,0,F4,F,Half note,0
9,65,60,240,0,4320,480,3840,3,FALSE,1,31,1,0,0,0,F4,F,fix,0
10,67,60,240,480,4560,720,3840,3,FALSE,1,31,1,0,0,0,G4,G,Half note,0
11,67,60,240,0,4800,960,3840,3,FALSE,1,31,1,0,0,0,G4,G,fix,0
12,68,60,240,720,5040,1200,3840,3,FALSE,1,31,1,0,0,0,G#/Ab4,G#/Ab,Half note triplet,0
13,68,60,480,0,5280,1440,3840,3,FALSE,1,31,1,0,0,0,G#/Ab4,G#/Ab,fix,0
14,-1,60,480,480,5760,0,5760,4,FALSE,1,7,1,0,0,0,rest,rest,Half note,0
15,-1,60,240,240,6240,480,5760,4,FALSE,1,7,1,0,0,0,rest,rest,Eighth note,0
16,70,60,240,240,6480,720,5760,4,FALSE,1,7,1,0,0,0,A#/Bb4,A#/Bb,Eighth note,0
